liquidity_health,bridge_reliability,governance_participation,label
0.960071,0.854009,0.050710,1
0.338660,0.318003,0.112717,0
0.626612,0.797458,0.313721,1
0.862809,0.797127,0.129138,1
0.766859,0.882621,0.197283,1
0.573641,0.638750,0.609334,1
0.096246,0.661191,0.631955,0
0.823885,0.803513,0.327168,1
0.722047,0.867273,0.892948,1
0.161512,0.026702,0.650807,0
0.214676,0.563710,0.944805,0
0.379320,0.252775,0.456510,0
0.657244,0.101099,0.380585,0
0.133721,0.662446,0.830553,0
0.376854,0.371724,0.539522,0
0.215058,0.247410,0.329852,0
0.457426,0.081531,0.752732,0
0.579055,0.299694,0.077547,0
0.763181,0.131079,0.133207,0
0.130684,0.081262,0.906392,0
0.269244,0.306411,0.832794,0
0.619923,0.187143,0.434813,0
0.883922,0.375374,0.710882,1
0.096808,0.727325,0.776474,0
0.825767,0.674201,0.370733,1
0.064212,0.518776,0.757460,0
0.190838,0.266237,0.536120,0
0.748332,0.896587,0.125742,1
0.184270,0.799537,0.644522,0
0.720973,0.996771,0.939180,1
0.843025,0.777116,0.395019,1
0.641229,0.184446,0.759494,0
0.757691,0.721295,0.444799,1
0.378180,0.419771,0.033339,0
0.844320,0.542370,0.387519,1
0.548029,0.721640,0.381461,1
0.830641,0.919463,0.387432,1
0.137816,0.760373,0.992949,0
0.147988,0.712676,0.825323,0
0.920572,0.123381,0.091810,0
0.987872,0.116756,0.176808,0
0.574953,0.446273,0.750392,1
0.190557,0.914428,0.217195,0
0.769111,0.067604,0.473403,0
0.032558,0.313811,0.312231,0
0.719748,0.455017,0.056774,0
0.995362,0.888699,0.916324,1
0.246576,0.394110,0.227180,0
0.124906,0.033024,0.503336,0
0.123134,0.176304,0.860476,0
0.484243,0.183704,0.669865,0
0.265865,0.526937,0.282953,0
0.516161,0.628534,0.536208,1
0.395604,0.790814,0.873437,1
0.179371,0.136309,0.113192,0
0.979597,0.941591,0.230667,1
0.969908,0.207818,0.506476,1
0.497385,0.914956,0.040529,1
0.315351,0.599975,0.066398,0
0.236551,0.465063,0.880857,0
0.760960,0.828980,0.761070,1
0.707721,0.849693,0.681477,1
0.735683,0.301645,0.167641,0
0.756525,0.165837,0.919456,1
0.596643,0.329434,0.936643,1
0.155130,0.514466,0.091554,0
0.965428,0.575376,0.803667,1
0.281922,0.801797,0.702842,0
0.643681,0.950563,0.433491,1
0.415088,0.692121,0.835055,1
0.335076,0.669657,0.209037,0
0.551700,0.769172,0.065315,0
0.727842,0.015432,0.958350,0
0.468670,0.409071,0.720445,0
0.523299,0.730849,0.084758,0
0.562792,0.558109,0.932114,1
0.039606,0.452820,0.631073,0
0.550747,0.074161,0.593228,0
0.222197,0.195549,0.878691,0
0.197842,0.454291,0.750287,0
0.707315,0.553459,0.807046,1
0.465816,0.620385,0.818917,1
0.678092,0.641828,0.406129,1
0.558323,0.396083,0.744292,0
0.380430,0.466621,0.755457,0
0.503656,0.338033,0.826819,0
0.380963,0.844729,0.785240,1
0.447289,0.712891,0.034390,0
0.389798,0.860334,0.579539,1
0.557826,0.664739,0.677672,1
0.583598,0.420629,0.183484,0
0.292642,0.292922,0.430745,0
0.999059,0.352552,0.447379,1
0.371628,0.581428,0.947899,1
0.889073,0.377139,0.266901,1
0.884399,0.493833,0.685541,1
0.073291,0.866558,0.312965,0
0.494527,0.198021,0.420243,0
0.828049,0.827579,0.473672,1
0.767911,0.458067,0.373356,1
0.545889,0.201341,0.316562,0
0.706529,0.770514,0.056708,1
0.732826,0.817430,0.445194,1
0.062454,0.682913,0.246164,0
0.643357,0.376623,0.637164,0
0.258135,0.476537,0.524675,0
0.631013,0.203168,0.962051,0
0.289138,0.306020,0.256312,0
0.067476,0.422923,0.771836,0
0.709567,0.195572,0.136932,0
0.321428,0.768255,0.488078,0
0.923184,0.656384,0.620907,1
0.767691,0.750258,0.343838,1
0.257008,0.437621,0.489247,0
0.141723,0.441332,0.639823,0
0.135715,0.138038,0.173721,0
0.283331,0.961709,0.025791,0
0.183739,0.165048,0.474348,0
0.015073,0.458173,0.162922,0
0.269640,0.792441,0.184067,0
0.617129,0.406312,0.417596,0
0.816845,0.160915,0.923810,1
0.893491,0.668322,0.049447,1
0.663309,0.600348,0.772206,1
0.213832,0.953356,0.886197,1
0.114357,0.315202,0.032444,0
0.830947,0.915095,0.989809,1
0.611925,0.665986,0.678406,1
0.570148,0.952423,0.607861,1
0.335726,0.512877,0.018663,0
0.724126,0.693921,0.421051,1
1.000000,1.000000,0.300000,1
1.000000,1.000000,0.300000,1
1.000000,1.000000,0.300000,1
1.000000,1.000000,0.650000,1
1.000000,1.000000,0.300000,1
1.000000,1.000000,0.300000,1
